image,disease,plant_type,dataset_type
Pest/IMG_20230816_142854.jpg,Pest,Potato,train
Phytopthora/IMG_4815.JPG,Phytopthora,Potato,train
Pest/IMG_20230816_135922~2.jpg,Pest,Potato,train
Phytopthora/IMG_9538 (1).JPG,Phytopthora,Potato,train
Bacteria/20230816_134720.jpg,Bacteria,Potato,train
Bacteria/20230816_135541.jpg,Bacteria,Potato,train
Phytopthora/IMG_0268 (1).JPG,Phytopthora,Potato,train
Fungi/20230802_105518694.jpg,Fungi,Potato,train
Fungi/IMG_20230815_113928~2.jpg,Fungi,Potato,train
Pest/IMG_20230815_123142.jpg,Pest,Potato,train
Phytopthora/20230802_124647.jpg,Phytopthora,Potato,train
Bacteria/20230816_142843.jpg,Bacteria,Potato,train
Fungi/IMG_0255.JPG,Fungi,Potato,train
Fungi/1692335403878.jpg,Fungi,Potato,train
Virus/20230816_123444.jpg,Virus,Potato,train
Fungi/20230802_111657.jpg,Fungi,Potato,train
Virus/20230816_115041.jpg,Virus,Potato,train
Fungi/IMG_0744.JPG,Fungi,Potato,train
Pest/IMG_20230816_120814.jpg,Pest,Potato,train
Fungi/20230712_115329.jpg,Fungi,Potato,train
Virus/20230712_133611.jpg,Virus,Potato,train
Bacteria/20230815_111931.jpg,Bacteria,Potato,train
Bacteria/20230816_141026.jpg,Bacteria,Potato,train
Fungi/IMG_9458.JPG,Fungi,Potato,train
Fungi/IMG_20230816_121926.jpg,Fungi,Potato,train
Pest/IMG_0355.JPG,Pest,Potato,train
Virus/20230815_112423.jpg,Virus,Potato,train
Virus/IMG_0339.JPG,Virus,Potato,train
Pest/IMG_4728.JPG,Pest,Potato,train
Bacteria/20230816_142540.jpg,Bacteria,Potato,train
Bacteria/20230815_111318.jpg,Bacteria,Potato,train
Healthy/20230816_085016.jpg,Healthy,Potato,train
Fungi/IMG_20230816_123146.jpg,Fungi,Potato,train
Phytopthora/IMG_0267 (1).JPG,Phytopthora,Potato,train
Virus/20230816_115110.jpg,Virus,Potato,train
Phytopthora/IMG_9535.JPG,Phytopthora,Potato,train
Pest/IMG_8089.JPG,Pest,Potato,train
Pest/20230802_120137740.jpg,Pest,Potato,train
Bacteria/20230816_142204.jpg,Bacteria,Potato,train
Pest/20230802_124914.jpg,Pest,Potato,train
Virus/20230816_112938.jpg,Virus,Potato,train
Fungi/IMG_0670.JPG,Fungi,Potato,train
Virus/IMG_0392.JPG,Virus,Potato,train
Fungi/IMG_4690.JPG,Fungi,Potato,train
Bacteria/IMG_0361.JPG,Bacteria,Potato,train
Fungi/1692338650765.jpg,Fungi,Potato,train
Pest/20230802_115901674.jpg,Pest,Potato,train
Fungi/IMG_4737.JPG,Fungi,Potato,train
Fungi/20230802_110855185.jpg,Fungi,Potato,train
Fungi/IMG_0256.JPG,Fungi,Potato,train
Pest/IMG_20230816_135850~2.jpg,Pest,Potato,train
Fungi/IMG_9378.JPG,Fungi,Potato,train
Phytopthora/20230712_160218.jpg,Phytopthora,Potato,train
Fungi/IMG_20230815_112512~2 (2).jpg,Fungi,Potato,train
Pest/IMG_4748.JPG,Pest,Potato,train
Bacteria/20230816_142749.jpg,Bacteria,Potato,train
Bacteria/IMG_1117.JPG,Bacteria,Potato,train
Virus/IMG_1001.JPG,Virus,Potato,train
Bacteria/IMG_0908.JPG,Bacteria,Potato,train
Virus/20230815_150431.jpg,Virus,Potato,train
Pest/IMG_8166.JPG,Pest,Potato,train
Pest/IMG_0805.JPG,Pest,Potato,train
Pest/IMG_20230816_142825.jpg,Pest,Potato,train
Phytopthora/20230712_154128.jpg,Phytopthora,Potato,train
Bacteria/IMG_0946.JPG,Bacteria,Potato,train
Bacteria/IMG_0942.JPG,Bacteria,Potato,train
Pest/20230802_125959.jpg,Pest,Potato,train
Bacteria/20230816_142605.jpg,Bacteria,Potato,train
Fungi/20230802_105914.jpg,Fungi,Potato,train
Virus/IMG_0473.JPG,Virus,Potato,train
Phytopthora/IMG_9526.JPG,Phytopthora,Potato,train
Pest/20230802_105420786.jpg,Pest,Potato,train
Virus/20230816_113034.jpg,Virus,Potato,train
Phytopthora/20230802_123443538.jpg,Phytopthora,Potato,train
Healthy/20230922_154220.jpg,Healthy,Potato,train
Healthy/20230802_105340269.jpg,Healthy,Potato,train
Healthy/IMG_0712.JPG,Healthy,Potato,train
Bacteria/IMG_20230816_142918.jpg,Bacteria,Potato,train
Bacteria/IMG_1130.JPG,Bacteria,Potato,train
Bacteria/20230815_113904.jpg,Bacteria,Potato,train
Fungi/20230802_113050.jpg,Fungi,Potato,train
Fungi/IMG_0149.JPG,Fungi,Potato,train
Bacteria/20230816_142536.jpg,Bacteria,Potato,train
Pest/20230712_114649.jpg,Pest,Potato,train
Fungi/IMG_9471.JPG,Fungi,Potato,train
Healthy/20230712_131432.jpg,Healthy,Potato,train
Pest/IMG_0279.JPG,Pest,Potato,train
Bacteria/20230815_121740.jpg,Bacteria,Potato,train
Bacteria/20230815_120753.jpg,Bacteria,Potato,train
Pest/IMG_0302.JPG,Pest,Potato,train
Bacteria/20230815_153611.jpg,Bacteria,Potato,train
Fungi/IMG_20230815_120708~2.jpg,Fungi,Potato,train
Pest/20230712_115900.jpg,Pest,Potato,train
Virus/20230922_155854.jpg,Virus,Potato,train
Bacteria/20230816_134722.jpg,Bacteria,Potato,train
Phytopthora/20230802_123312346.jpg,Phytopthora,Potato,train
Phytopthora/20230802_124932.jpg,Phytopthora,Potato,train
Pest/20230712_133308.jpg,Pest,Potato,train
Fungi/20230712_120515.jpg,Fungi,Potato,train
Fungi/IMG_8198.JPG,Fungi,Potato,train
Bacteria/IMG_0949.JPG,Bacteria,Potato,train
Fungi/IMG_0163.JPG,Fungi,Potato,train
Bacteria/20230816_142259.jpg,Bacteria,Potato,train
Phytopthora/20230802_125541.jpg,Phytopthora,Potato,train
Bacteria/IMG_1242.JPG,Bacteria,Potato,train
Fungi/IMG_20230816_115624.jpg,Fungi,Potato,train
Virus/IMG_20230816_081814.jpg,Virus,Potato,train
Bacteria/20230816_134139.jpg,Bacteria,Potato,train
Bacteria/20230816_140032.jpg,Bacteria,Potato,train
Virus/IMG_0483.JPG,Virus,Potato,train
Pest/20230802_115606492.jpg,Pest,Potato,train
Bacteria/1692336758926.jpg,Bacteria,Potato,train
Bacteria/20230816_135949.jpg,Bacteria,Potato,train
Fungi/IMG_4779.JPG,Fungi,Potato,train
Virus/IMG_1122.JPG,Virus,Potato,train
Pest/IMG_4746.JPG,Pest,Potato,train
Fungi/IMG_20230815_122258~2.jpg,Fungi,Potato,train
Bacteria/IMG_0330.JPG,Bacteria,Potato,train
Pest/20230802_124040.jpg,Pest,Potato,train
Virus/IMG_0438.JPG,Virus,Potato,train
Pest/20230802_110008548.jpg,Pest,Potato,train
Pest/IMG_0931.JPG,Pest,Potato,train
Bacteria/20230815_111708.jpg,Bacteria,Potato,train
Phytopthora/1692332350385.jpg,Phytopthora,Potato,train
Virus/20230816_145813.jpg,Virus,Potato,train
Pest/20230712_122034.jpg,Pest,Potato,train
Pest/1692332350573.jpg,Pest,Potato,train
Fungi/IMG_4691.JPG,Fungi,Potato,train
Fungi/IMG_20230816_082445 (1).jpg,Fungi,Potato,train
Fungi/1692334247294.jpg,Fungi,Potato,train
Virus/20230816_115019.jpg,Virus,Potato,train
Virus/20230815_151214.jpg,Virus,Potato,train
Bacteria/20230816_140949.jpg,Bacteria,Potato,train
Virus/IMG_0634.JPG,Virus,Potato,train
Phytopthora/IMG_4698.JPG,Phytopthora,Potato,train
Pest/IMG_0205.JPG,Pest,Potato,train
Fungi/20230802_105507586.jpg,Fungi,Potato,train
Virus/IMG_0301.JPG,Virus,Potato,train
Pest/IMG_20230816_140106.jpg,Pest,Potato,train
Pest/IMG_8077.JPG,Pest,Potato,train
Virus/20230815_145044.jpg,Virus,Potato,train
Pest/20230802_115742137.jpg,Pest,Potato,train
Fungi/20230712_155333.jpg,Fungi,Potato,train
Bacteria/20230816_134756.jpg,Bacteria,Potato,train
Phytopthora/20230802_124308.jpg,Phytopthora,Potato,train
Pest/IMG_8161.JPG,Pest,Potato,train
Virus/IMG_0474.JPG,Virus,Potato,train
Fungi/20230802_110957239.jpg,Fungi,Potato,train
Healthy/20230712_131224.jpg,Healthy,Potato,train
Virus/IMG_0424.JPG,Virus,Potato,train
Pest/20230712_114316.jpg,Pest,Potato,train
Bacteria/IMG_1178.JPG,Bacteria,Potato,train
Healthy/20230802_123641857.jpg,Healthy,Potato,train
Fungi/20230816_115131.jpg,Fungi,Potato,train
Fungi/20230802_113024.jpg,Fungi,Potato,train
Fungi/20230816_122456.jpg,Fungi,Potato,train
Fungi/IMG_0143.JPG,Fungi,Potato,train
Virus/1692338053986.jpg,Virus,Potato,train
Virus/20230816_121314.jpg,Virus,Potato,train
Fungi/IMG_8109.JPG,Fungi,Potato,train
Phytopthora/IMG_0313 - Copy.JPG,Phytopthora,Potato,train
Phytopthora/IMG_9519 (1).JPG,Phytopthora,Potato,train
Fungi/20230816_081918.jpg,Fungi,Potato,train
Bacteria/20230816_141854.jpg,Bacteria,Potato,train
Pest/20230802_115851687.jpg,Pest,Potato,train
Virus/IMG_0504.JPG,Virus,Potato,train
Fungi/1692333632410.jpg,Fungi,Potato,train
Fungi/20230816_123020.jpg,Fungi,Potato,train
Fungi/IMG_4669.JPG,Fungi,Potato,train
Bacteria/20230816_135234.jpg,Bacteria,Potato,train
Phytopthora/20230802_123916.jpg,Phytopthora,Potato,train
Healthy/20230712_131002.jpg,Healthy,Potato,train
Virus/20230815_151212.jpg,Virus,Potato,train
Pest/IMG_0333.JPG,Pest,Potato,train
Pest/IMG_0272.JPG,Pest,Potato,train
Phytopthora/20230802_123759.jpg,Phytopthora,Potato,train
Virus/20230815_114456.jpg,Virus,Potato,train
Phytopthora/20230802_115546.jpg,Phytopthora,Potato,train
Phytopthora/20230802_123856145.jpg,Phytopthora,Potato,train
Virus/IMG_0223.JPG,Virus,Potato,train
Fungi/20230802_105604486.jpg,Fungi,Potato,train
Fungi/IMG_0748.JPG,Fungi,Potato,train
Phytopthora/IMG_0376.JPG,Phytopthora,Potato,train
Bacteria/20230816_134827.jpg,Bacteria,Potato,train
Pest/20230802_124806.jpg,Pest,Potato,train
Pest/IMG_9491.JPG,Pest,Potato,train
Fungi/20230815_112230.jpg,Fungi,Potato,train
Phytopthora/20230802_124739.jpg,Phytopthora,Potato,train
Pest/20230922_163450.jpg,Pest,Potato,train
Nematode/IMG_20230815_113804~2.jpg,Nematode,Potato,train
Fungi/IMG_0140.JPG,Fungi,Potato,train
Phytopthora/20230816_122601.jpg,Phytopthora,Potato,train
Bacteria/IMG_1240.JPG,Bacteria,Potato,train
Pest/IMG_4742.JPG,Pest,Potato,train
Pest/20230712_154044.jpg,Pest,Potato,train
Fungi/IMG_4786.JPG,Fungi,Potato,train
Pest/20230802_120500572.jpg,Pest,Potato,train
Bacteria/IMG_0910.JPG,Bacteria,Potato,train
Fungi/20230816_123310.jpg,Fungi,Potato,train
Pest/20230922_163656.jpg,Pest,Potato,train
Bacteria/20230815_153600.jpg,Bacteria,Potato,train
Bacteria/20230815_120051.jpg,Bacteria,Potato,train
Phytopthora/IMG_0314 - Copy.JPG,Phytopthora,Potato,train
Fungi/IMG_4662.JPG,Fungi,Potato,train
Bacteria/IMG_1216.JPG,Bacteria,Potato,train
Virus/IMG_20230815_115355~2.jpg,Virus,Potato,train
Fungi/20230802_105530853.jpg,Fungi,Potato,train
Phytopthora/IMG_20230816_081619.jpg,Phytopthora,Potato,train
Bacteria/IMG_1196.JPG,Bacteria,Potato,train
Virus/IMG_0788.JPG,Virus,Potato,train
Bacteria/IMG_0328.JPG,Bacteria,Potato,train
Healthy/IMG_9557.JPG,Healthy,Potato,train
Healthy/IMG_4767.JPG,Healthy,Potato,train
Pest/20230816_140322.jpg,Pest,Potato,train
Bacteria/IMG_1002.JPG,Bacteria,Potato,train
Fungi/IMG_0316.JPG,Fungi,Potato,train
Phytopthora/IMG_9565 (1).JPG,Phytopthora,Potato,train
Virus/20230815_114137.jpg,Virus,Potato,train
Bacteria/20230815_113841.jpg,Bacteria,Potato,train
Pest/20230802_125929.jpg,Pest,Potato,train
Fungi/IMG_0743.JPG,Fungi,Potato,train
Bacteria/IMG_1069.JPG,Bacteria,Potato,train
Pest/20230802_125927.jpg,Pest,Potato,train
Bacteria/20230816_140031.jpg,Bacteria,Potato,train
Bacteria/20230815_114115.jpg,Bacteria,Potato,train
Virus/20230815_150846.jpg,Virus,Potato,train
Pest/20230802_125955.jpg,Pest,Potato,train
Fungi/IMG_4670.JPG,Fungi,Potato,train
Pest/IMG_0192.JPG,Pest,Potato,train
Phytopthora/IMG_4714.JPG,Phytopthora,Potato,train
Pest/IMG_8087.JPG,Pest,Potato,train
Bacteria/20230816_142101.jpg,Bacteria,Potato,train
Fungi/20230802_110934707.jpg,Fungi,Potato,train
Fungi/1692336759119.jpg,Fungi,Potato,train
Nematode/IMG_0193.JPG,Nematode,Potato,train
Virus/IMG_20230815_120802~2.jpg,Virus,Potato,train
Fungi/20230712_160234.jpg,Fungi,Potato,train
Bacteria/20230816_134130.jpg,Bacteria,Potato,train
Bacteria/20230815_111336.jpg,Bacteria,Potato,train
Virus/IMG_8260.JPG,Virus,Potato,train
Pest/IMG_0217 (1).JPG,Pest,Potato,train
Pest/IMG_0294.JPG,Pest,Potato,train
Fungi/20230712_154242.jpg,Fungi,Potato,train
Fungi/1692334247771.jpg,Fungi,Potato,train
Pest/20230922_163525.jpg,Pest,Potato,train
Virus/IMG_0987.JPG,Virus,Potato,train
Fungi/IMG_0401 (1).JPG,Fungi,Potato,train
Fungi/20230712_155729.jpg,Fungi,Potato,train
Pest/IMG_0208 (1).JPG,Pest,Potato,train
Bacteria/20230815_153602.jpg,Bacteria,Potato,train
Pest/IMG_1096.JPG,Pest,Potato,train
Virus/IMG_1119.JPG,Virus,Potato,train
Nematode/IMG_4738.JPG,Nematode,Potato,train
Bacteria/20230815_113856.jpg,Bacteria,Potato,train
Pest/20230922_163540.jpg,Pest,Potato,train
Phytopthora/IMG_0397.JPG,Phytopthora,Potato,train
Fungi/IMG_20230816_082529 (1).jpg,Fungi,Potato,train
Phytopthora/20230802_123720754.jpg,Phytopthora,Potato,train
Virus/20230815_150647.jpg,Virus,Potato,train
Bacteria/IMG_1204.JPG,Bacteria,Potato,train
Pest/20230712_155445.jpg,Pest,Potato,train
Fungi/20230712_160035.jpg,Fungi,Potato,train
Bacteria/IMG_0324.JPG,Bacteria,Potato,train
Phytopthora/IMG_0386.JPG,Phytopthora,Potato,train
Fungi/20230802_110417099.jpg,Fungi,Potato,train
Pest/IMG_20230816_134943.jpg,Pest,Potato,train
Pest/20230802_124823720.jpg,Pest,Potato,train
Virus/IMG_0645.JPG,Virus,Potato,train
Virus/IMG_0982.JPG,Virus,Potato,train
Fungi/20230802_110059.jpg,Fungi,Potato,train
Bacteria/IMG_0948.JPG,Bacteria,Potato,train
Fungi/20230802_112907.jpg,Fungi,Potato,train
Virus/20230815_151718.jpg,Virus,Potato,train
Virus/IMG_0460.JPG,Virus,Potato,train
Pest/IMG_8229.JPG,Pest,Potato,train
Virus/20230802_120657.jpg,Virus,Potato,train
Healthy/IMG_1253.JPG,Healthy,Potato,train
Pest/20230712_124554.jpg,Pest,Potato,train
Virus/IMG_20230816_075736.jpg,Virus,Potato,train
Fungi/IMG_0236.JPG,Fungi,Potato,train
Fungi/IMG_20230816_121111.jpg,Fungi,Potato,train
Phytopthora/IMG_0341.JPG,Phytopthora,Potato,train
Virus/IMG_1098.JPG,Virus,Potato,train
Virus/20230815_153232.jpg,Virus,Potato,train
Virus/IMG_8108.JPG,Virus,Potato,train
Phytopthora/IMG_0818.JPG,Phytopthora,Potato,train
Nematode/20230712_155746.jpg,Nematode,Potato,train
Virus/IMG_9548.JPG,Virus,Potato,train
Fungi/20230712_120457.jpg,Fungi,Potato,train
Fungi/IMG_20230816_122603~2.jpg,Fungi,Potato,train
Pest/20230802_125209.jpg,Pest,Potato,train
Healthy/20230815_120132.jpg,Healthy,Potato,train
Bacteria/IMG_1091.JPG,Bacteria,Potato,train
Virus/20230815_112519.jpg,Virus,Potato,train
Virus/20230802_125850.jpg,Virus,Potato,train
Pest/IMG_9532.JPG,Pest,Potato,train
Virus/20230816_120848.jpg,Virus,Potato,train
Pest/20230802_105208815.jpg,Pest,Potato,train
Phytopthora/20230802_124940973.jpg,Phytopthora,Potato,train
Bacteria/20230816_142746.jpg,Bacteria,Potato,train
Nematode/IMG_0156.JPG,Nematode,Potato,train
Bacteria/20230816_135559.jpg,Bacteria,Potato,train
Bacteria/IMG_20230816_140302.jpg,Bacteria,Potato,train
Bacteria/20230816_143234.jpg,Bacteria,Potato,train
Phytopthora/20230802_130247.jpg,Phytopthora,Potato,train
Fungi/IMG_20230816_091248 (1).jpg,Fungi,Potato,train
Bacteria/1692332350433.jpg,Bacteria,Potato,train
Virus/20230816_113724.jpg,Virus,Potato,train
Virus/IMG_0408.JPG,Virus,Potato,train
Healthy/20230816_123429.jpg,Healthy,Potato,train
Virus/20230816_113204.jpg,Virus,Potato,train
Virus/20230816_123449.jpg,Virus,Potato,train
Nematode/20230816_121307.jpg,Nematode,Potato,train
Healthy/20230802_120908.jpg,Healthy,Potato,train
Fungi/IMG_20230816_080308.jpg,Fungi,Potato,train
Fungi/20230802_105548597.jpg,Fungi,Potato,train
Pest/20230712_115700.jpg,Pest,Potato,train
Virus/20230712_133229.jpg,Virus,Potato,train
Pest/IMG_1108.JPG,Pest,Potato,train
Phytopthora/IMG_9536 (1).JPG,Phytopthora,Potato,train
Fungi/IMG_20230816_114753~2.jpg,Fungi,Potato,train
Virus/20230815_150516.jpg,Virus,Potato,train
Fungi/IMG_0257 (1).JPG,Fungi,Potato,train
Pest/IMG_4764.JPG,Pest,Potato,train
Pest/20230802_125050.jpg,Pest,Potato,train
Virus/IMG_9527.JPG,Virus,Potato,train
Pest/IMG_8316.JPG,Pest,Potato,train
Phytopthora/IMG_9540 (1).JPG,Phytopthora,Potato,train
Phytopthora/20230712_160142.jpg,Phytopthora,Potato,train
Fungi/IMG_0141.JPG,Fungi,Potato,train
Pest/IMG_0223.JPG,Pest,Potato,train
Healthy/20230712_130720.jpg,Healthy,Potato,train
Pest/20230802_120455999.jpg,Pest,Potato,train
Fungi/20230802_111450833.jpg,Fungi,Potato,train
Bacteria/20230816_142545.jpg,Bacteria,Potato,train
Pest/20230802_115744.jpg,Pest,Potato,train
Virus/20230815_120100.jpg,Virus,Potato,train
Bacteria/20230816_140602.jpg,Bacteria,Potato,train
Phytopthora/20230802_123356.jpg,Phytopthora,Potato,train
Pest/IMG_20230816_142004.jpg,Pest,Potato,train
Virus/20230815_120713.jpg,Virus,Potato,train
Bacteria/20230816_141039.jpg,Bacteria,Potato,train
Pest/IMG_0297.JPG,Pest,Potato,train
Fungi/20230712_155137.jpg,Fungi,Potato,train
Bacteria/20230816_134552.jpg,Bacteria,Potato,train
Fungi/IMG_20230815_153643~2.jpg,Fungi,Potato,train
Bacteria/IMG_0321.JPG,Bacteria,Potato,train
Healthy/20230712_131450.jpg,Healthy,Potato,train
Fungi/20230815_123000.jpg,Fungi,Potato,train
Healthy/20230802_115747831.jpg,Healthy,Potato,train
Phytopthora/20230802_124316.jpg,Phytopthora,Potato,train
Pest/20230815_113911.jpg,Pest,Potato,train
Healthy/20230922_154252.jpg,Healthy,Potato,train
Virus/IMG_0475.JPG,Virus,Potato,train
Bacteria/20230816_140041.jpg,Bacteria,Potato,train
Bacteria/20230816_141904.jpg,Bacteria,Potato,train
Fungi/20230712_160906.jpg,Fungi,Potato,train
Healthy/1692336758935.jpg,Healthy,Potato,train
Bacteria/20230815_114200.jpg,Bacteria,Potato,train
Fungi/IMG_0254.JPG,Fungi,Potato,train
Bacteria/IMG_20230816_135014.jpg,Bacteria,Potato,train
Nematode/20230815_153903.jpg,Nematode,Potato,train
Bacteria/IMG_1170.JPG,Bacteria,Potato,train
Virus/20230815_115132.jpg,Virus,Potato,train
Pest/IMG_20230816_140721.jpg,Pest,Potato,train
Phytopthora/IMG_0385.JPG,Phytopthora,Potato,train
Virus/20230816_113005.jpg,Virus,Potato,train
Pest/20230802_105826966.jpg,Pest,Potato,train
Pest/20230802_104926298.jpg,Pest,Potato,train
Virus/IMG_0988.JPG,Virus,Potato,train
Fungi/20230802_111458829.jpg,Fungi,Potato,train
Pest/IMG_20230816_134507.jpg,Pest,Potato,train
Fungi/IMG_20230816_090727 (1).jpg,Fungi,Potato,train
Healthy/20230815_111720.jpg,Healthy,Potato,train
Phytopthora/IMG_9538.JPG,Phytopthora,Potato,train
Healthy/20230816_123045.jpg,Healthy,Potato,train
Fungi/1692334247642.jpg,Fungi,Potato,train
Virus/1692338650296.jpg,Virus,Potato,train
Pest/IMG_0225 (1).JPG,Pest,Potato,train
Virus/IMG_0738.JPG,Virus,Potato,train
Bacteria/20230816_141404.jpg,Bacteria,Potato,train
Pest/20230712_132924.jpg,Pest,Potato,train
Fungi/20230816_123051.jpg,Fungi,Potato,train
Virus/IMG_1103.JPG,Virus,Potato,train
Healthy/20230815_123008.jpg,Healthy,Potato,train
Fungi/20230802_123439.jpg,Fungi,Potato,train
Pest/20230922_163543.jpg,Pest,Potato,train
Healthy/20230802_124220.jpg,Healthy,Potato,train
Phytopthora/20230802_124350.jpg,Phytopthora,Potato,train
Pest/20230802_115910618.jpg,Pest,Potato,train
Virus/IMG_8259.JPG,Virus,Potato,train
Fungi/IMG_20230816_113915.jpg,Fungi,Potato,train
Pest/IMG_20230816_140703.jpg,Pest,Potato,train
Phytopthora/20230802_125551.jpg,Phytopthora,Potato,train
Pest/IMG_20230816_134324~2.jpg,Pest,Potato,train
Pest/IMG_20230816_081552.jpg,Pest,Potato,train
Fungi/20230802_112029612.jpg,Fungi,Potato,train
Fungi/IMG_4798.JPG,Fungi,Potato,train
Pest/20230802_115750.jpg,Pest,Potato,train
Fungi/IMG_4730.JPG,Fungi,Potato,train
Pest/20230712_114800.jpg,Pest,Potato,train
Fungi/20230816_122020.jpg,Fungi,Potato,train
Fungi/IMG_8148.JPG,Fungi,Potato,train
Phytopthora/IMG_9535 (1).JPG,Phytopthora,Potato,train
Fungi/20230802_105621.jpg,Fungi,Potato,train
Virus/20230816_082040.jpg,Virus,Potato,train
Bacteria/IMG_1080.JPG,Bacteria,Potato,train
Pest/20230712_154844.jpg,Pest,Potato,train
Fungi/IMG_20230816_114422.jpg,Fungi,Potato,train
Bacteria/20230815_114042.jpg,Bacteria,Potato,train
Fungi/IMG_9420.JPG,Fungi,Potato,train
Bacteria/IMG_0918.JPG,Bacteria,Potato,train
Bacteria/IMG_1198.JPG,Bacteria,Potato,train
Fungi/IMG_4797.JPG,Fungi,Potato,train
Bacteria/IMG_0349.JPG,Bacteria,Potato,train
Phytopthora/20230802_123919.jpg,Phytopthora,Potato,train
Fungi/20230712_115213.jpg,Fungi,Potato,train
Fungi/20230802_110532.jpg,Fungi,Potato,train
Fungi/IMG_0210.JPG,Fungi,Potato,train
Bacteria/20230816_091315.jpg,Bacteria,Potato,train
Phytopthora/IMG_0371.JPG,Phytopthora,Potato,train
Pest/20230712_132814.jpg,Pest,Potato,train
Fungi/IMG_0207.JPG,Fungi,Potato,train
Fungi/IMG_20230815_113656~2.jpg,Fungi,Potato,train
Bacteria/IMG_1140.JPG,Bacteria,Potato,train
Bacteria/IMG_0912.JPG,Bacteria,Potato,train
Fungi/IMG_9407.JPG,Fungi,Potato,train
Pest/IMG_0170.JPG,Pest,Potato,train
Fungi/IMG_4788.JPG,Fungi,Potato,train
Phytopthora/20230802_123809.jpg,Phytopthora,Potato,train
Bacteria/IMG_1008.JPG,Bacteria,Potato,train
Fungi/IMG_20230816_122806~2.jpg,Fungi,Potato,train
Fungi/1692332350583.jpg,Fungi,Potato,train
Phytopthora/20230802_123520567.jpg,Phytopthora,Potato,train
Phytopthora/IMG_20230816_082126.jpg,Phytopthora,Potato,train
Fungi/20230802_111557156.jpg,Fungi,Potato,train
Healthy/20230816_121553.jpg,Healthy,Potato,train
Virus/IMG_0602.JPG,Virus,Potato,train
Virus/20230815_112557.jpg,Virus,Potato,train
Pest/20230802_105206317.jpg,Pest,Potato,train
Healthy/20230712_122712.jpg,Healthy,Potato,train
Bacteria/IMG_1084.JPG,Bacteria,Potato,train
Fungi/IMG_0258.JPG,Fungi,Potato,train
Fungi/20230802_113043.jpg,Fungi,Potato,train
Fungi/IMG_20230815_122239~2.jpg,Fungi,Potato,train
Bacteria/IMG_1141.JPG,Bacteria,Potato,train
Bacteria/20230816_143409.jpg,Bacteria,Potato,train
Pest/IMG_8076.JPG,Pest,Potato,train
Pest/20230922_163620.jpg,Pest,Potato,train
Fungi/1692334247554.jpg,Fungi,Potato,train
